NIT;NOMBRE;CLASIFICACION;PERFIL;CUPO;FECHA;CREDITO
800000946;PROCTER ? GAMBLE COLOMBIA LTDA.;DETERGENTES Y JABONES;ADC_DEFAULT;8500000000;2/06/2010;150 DIAS FACT.
800012778;DORICOLOR S.A.S;ADHESIVOS;ADC_ESENCIAL;100000000;14/08/1997;60 DIAS FACT.
800019437;CORRUGADOS DEL DARIEN S.A.S;EMPAQUE;ADC_ESENCIAL;350000000;14/08/1997;90 DIAS FACT.
800028702;DETERQUIN S.A.S;ADHESIVOS;ADC_ESENCIAL;80000000;30/11/2008;60 DIAS FACT.
800032741;INDUSTRIAS RAPID Y CIA LTDA.;ADHESIVOS;ADC_ESENCIAL;50000000;2/10/2010;60 DIAS FACT.
800047266;QUIMICA COLOMBIANA LTDA;;ADC_DEFAULT;1;7/11/2018;60 DIAS FACT.
800051929;INDUSTRIA ANDINA DE ILUMINACION S.A INADISA;ENERGIA;ADC_DINAMICO;300000000;28/04/2011;60 DIAS FACT.
800077985;LA TEJADA S.A.S;COMERCIALIZADOR;ADC_ESENCIAL;1;19/08/1997;CONTADO
800080917;DIMEL INGENIERIA S.A;ENERGIA;ADC_DINAMICO;12000000000;3/05/2016;90 DIAS FACT.
800081739;PRODUCTOS VITELA S.A.;TEXTILES;ADC_DINAMICO;100000000;19/08/1997;60 DIAS FACT.
800114140;DISTRIBUIDORA DE COLORANTES Y QUIMICOS RECOLQUIM S.A.;TEXTILES;ADC_ESENCIAL;120000000;13/06/2002;60 DIAS FACT.
800119427;FAISMON S.A.S.;;ADC_DEFAULT;1;8/09/2020;CONTADO
800123057;EL ARQUITECTO MATERIALES PARA CONSTRUCCION S.A.;MATERIAL CONSTRUCCION;ADC_ESENCIAL;180000000;13/12/2008;60 DIAS FACT.
800138131;EXICARTON S.A;EMPAQUE;ADC_DEFAULT;80000000;20/04/2021;60 DIAS FACT.
800156688;RECUBRIMIENTOS INDUSTRIALES S.A.S;PINTURA DECORATIVA;ADC_DEFAULT;1;9/08/2019;60 DIAS FACT.
800171079;PINTURAS TONNER Y CIA LTDA;PINTURA DECORATIVA;ADC_CUMBRE;550000000;27/02/2019;60 DIAS FACT.
800194203;PINTURAS PRIME S.A.;RECUBRIMIENTO INDUSTRIAL;ADC_DINAMICO;500000000;19/01/1999;60 DIAS FACT.
800200304;PINTURAS SUPER LTDA;PINTURA DECORATIVA;ADC_DINAMICO;350000000;13/02/2004;60 DIAS FACT.
800203758;CHT COLOMBIANA LTDA;;ADC_DEFAULT;1;28/06/2019;CONTADO
800207932;CI MULTISERVICIOS DE INGENIERIA 1 - A S.A;;ADC_ESENCIAL;1;7/05/2021;CONTADO
800226571;PROLAC S.A.S;RECUBRIMIENTO INDUSTRIAL;ADC_DINAMICO;400000000;1/09/2001;60 DIAS FACT.
800250626;OXIGENADOS Y DERIVADOS S.A.S.;QUIMICO CONSTRUCCION;ADC_ESENCIAL;100000000;17/01/2018;60 DIAS FACT.
802008637;COMPANIA PRODUCTORA DE PINTURAS DEL CARIBE S.A.S;PINTURA DECORATIVA;ADC_DINAMICO;500000000;26/08/2002;60 DIAS FACT.
802021320;COMERCIALIZADORA IMPACTO LTDA;PINTURA DECORATIVA;ADC_DINAMICO;800000000;8/06/2012;60 DIAS FACT.
806000387;COMERCIALIZADORA EXCEDENTES Y METALES SA;;ADC_DEFAULT;1;28/03/2019;CONTADO
806003144;TODOMAR C.H.L. S.A.S.;NAUTICA;ADC_CUMBRE;450000000;27/07/2022;60 DIAS FACT.
806008047;BDP COLOMBIA S.A.;;ADC_DEFAULT;1;5/03/2021;CONTADO
810003907;INDUSTRIAS LA VICTORIA S.A.S;DETERGENTES Y JABONES;ADC_DINAMICO;2000000000;17/10/2011;90 DIAS FACT.
811009636;QUIMICOS PALACIO ECHANDIA SAS - QUIMIPAL SAS;;ADC_DINAMICO;400000000;24/05/1999;60 DIAS FACT.
811016478;EMPAQUES Y SERVICIOS SUPERIORES S.A.S. - SUPERPACK;EMPAQUE;ADC_ESENCIAL;1;15/01/2007;CONTADO
811023351;GRICOAT DE COLOMBIA S.A.S;RECUBRIMIENTO INDUSTRIAL;ADC_DINAMICO;700000000;13/12/2008;60 DIAS FACT.
811024414;AMERICANA DE RECUBRIMIENTOS CARALZ S.A.S;AUTOMOTRIZ;ADC_CUMBRE;500000000;22/11/2006;60 DIAS FACT.
816006799;BUSSCAR DE COLOMBIA S.A.S. EN REORGANIZACION;TRANSPORTE BUSES;ADC_CUMBRE;1500000000;18/02/2009;90 DIAS FACT.
817002676;PAPELES DEL CAUCA S.A. VIGILADA;ADHESIVOS;ADC_DEFAULT;1;14/02/1995;CONTADO
817002925;GLOBAL INDUSTRIAS S.A.S;TEXTILES;ADC_ESENCIAL;200000000;13/12/2008;60 DIAS FACT.
830000556;PAPELES Y CORRUGADOS ANDINA S.A;EMPAQUE;ADC_DEFAULT;80000000;;60 DIAS FACT.
830006833;PINTUFLEX S.A.S;PINTURA DECORATIVA;ADC_DINAMICO;400000000;20/09/2002;60 DIAS FACT.
830071212;PINTURAS MULTITONOS S.A.S;PINTURA DECORATIVA;ADC_ESENCIAL;200000000;22/03/2012;60 DIAS FACT.
830071604;SYGLA COLOMBIA LTDA;;ADC_DEFAULT;1;9/12/2020;CONTADO
830075451;PINTURAS TITO PABON SAS;PINTURA DECORATIVA;ADC_DINAMICO;250000000;3/05/2016;60 DIAS FACT.
830098290;INDUSTRIA COLOMBIANA DE PERFILES METALICOS S.A.;MATERIAL CONSTRUCCION;ADC_DINAMICO;125000000;6/08/2018;60 DIAS FACT.
830103701;INVERSIONES ALDEMAR S.A;TRANSPORTE BUSES;ADC_ESENCIAL;150000000;6/12/2012;60 DIAS FACT.
830105213;COMPANIA DE RECUBRIMIENTOS Y ADHESIVOS SAS;PINTURA DECORATIVA;ADC_DINAMICO;150000000;19/10/2012;60 DIAS FACT.
