NIT;Fecha de Corte;AÑO;Tipo_empresa;Ingresos Operacionales;Costos de ventas y de prestación de servicios;Otros ingresos;Gastos Operacionales de admon;Otros gastos;Otras ganancias (pérdidas);Ingresos financieros;Costos financieros;Impuesto de renta y complementarios;Gastos Operacionales de venta;Efectivo y equivalentes al efectivo;Clientes CP;Inventarios CP;Otros activos financieros;Propiedad planta y equipo;Deudores LP;Proveedores CP;Obligaciones Financieras CP;Proveedores LP;Obligaciones Financieras LP;Capital Social;Prima de emisión;Reservas;Ganancias acumuladas;Otros Activos Corrientes;Total Activo Corriente;Otros Activos No Corrientes;Total Activo No Corriente;Total Activo;Otros Pasivos Corrientes;Total Pasivo Corriente;Otros pasivos no Corrientes;Total Pasivo No Corriente;Total Pasivo;Otros Patrimonio;Total patrimonio;Total Pasivo mas Patrimonio;Utilidad Bruta;Utilidad Operacional;Otros ingresos o egresos;Utilidad antes de impuestos;Ganancias y pérdidas
800000946;31/12/2020;2020;Plena;1006833389;661555775;1200917;93520107;8240400;0;898026;383162;29562532;1;11685610;291839358;98906027;0;134555694;0;194277634;3319240;0;7013658;81393308;13677575;71026624;139569243;45729140;448160135;5074916;139630610;587790745;153330884;350927758;0;7013658;357941416;0;305666750;663608166;345277614;244718023;0;245232887;274795419
800000946;31/12/2020;2019;Plena;902210738;591123402;6251932;98259305;2057576;0;1867150;433351;11762291;1;18723781;204805319;77287398;0;127841222;0;160194873;5296853;0;0;81393308;13677575;44038772;119850890;58161176;358977674;12481331;140322553;499300227;141087044;306578770;0;0;306578770;0;258960545;565539315;311087336;217022386;0;218456185;230218476
800000946;31/12/2019;2018;Plena;750251707;532927616;0;68104337;3423428;7372560;1963881;473812;5939537;137289225;13004391;143273509;82158367;1;51873857;1;107651581;1;1;1;32212968;13677575;18950032;94444840;41952023;280388291;3779511;55653369;336041660;127142251;234793833;4;6;234793839;4;159285419;394079258;217324091;8507101;4;9997174;15936711
800012778;31/12/2020;2020;Pymes;31905482;22940328;2179754;1895108;2251011;0;0;0;328250;1;707399;12927304;9368900;0;5964080;0;5238851;0;3761770;11913327;600000;0;94726;9117418;0;23003603;4429772;10393852;33397455;734507;5973358;1936854;17611951;23585309;0;9812144;33397453;8965154;6998788;4;6998792;7327042
800012778;31/12/2020;2019;Pymes;35999042;24772348;973801;2637231;1722642;0;0;0;362811;1;129164;14476868;8388514;0;6245719;0;6467188;0;802903;10624737;600000;0;94726;8840991;0;22994546;496085;6741804;29736350;1175095;7642283;1130708;12558348;20200631;0;9535717;29736348;11226694;7840621;4;7840625;8203436
800012778;31/12/2019;2018;Pymes;33701125;23233574;925915;2655513;1047339;0;1;1;565806;1;359133;13615599;7860918;1;6109893;1;6271518;1;11108839;1;600000;1;1264145;9339073;1;21835652;1043046;7152940;28988592;5;6271524;405008;11513848;17785372;4;11203223;28988595;10467551;7690613;4;7690617;8256423
800019437;31/12/2020;2020;Plena;105720730;77713509;261229;5465843;237146;0;0;778879;6517698;1;2919056;12099553;14226086;0;50239394;0;7480997;322266;0;2255859;1200000;0;3817371;55169987;0;29244695;57654;50297048;79541743;2785104;10588367;7556741;9812600;20400967;0;60187358;80588325;28007221;22565460;0;21786581;28304279
800019437;31/12/2020;2019;Plena;148777770;116665014;463258;4373840;604346;0;0;747615;7956869;1;2120217;23785891;29619590;0;50118671;0;24464341;2504;0;2625000;1200000;0;10240239;57650844;0;55525698;43980;50162651;105688349;2484215;26951060;7919071;10544071;37495131;0;69091083;106586214;32112756;27597827;0;26850212;34807081
800019437;31/12/2019;2018;Plena;148510801;114911042;896592;4920830;148148;1;1;1705571;8959957;1541823;1724398;28480141;48257641;1;49088489;1;40667167;3012928;1;1;1200000;1;11020217;58770505;2;78462183;56809;49145299;127607482;6219804;49899899;7565958;7565960;57465859;4;70990727;128456586;33599759;27885550;4;26179984;35139941
800028702;31/12/2020;2020;Pymes;9376622;6121171;941;992662;49358;0;18228;186531;340897;1;574760;2775610;523788;556015;2587547;0;1263649;180000;0;244999;300000;0;150000;3814359;312336;4742509;45756;2633303;7375812;1283023;2726672;5029;250028;2976700;441368;4705727;7682427;3255451;2214371;4;2046072;2386969
800028702;31/12/2020;2019;Pymes;10032818;6798633;6169;743292;66879;0;6931;262230;378917;1;761257;2794365;306159;125130;2659345;0;1060227;109781;0;219564;300000;0;150000;3789335;873;3987784;57906;2717251;6705035;885456;2055464;5029;224593;2280057;441368;4680703;6960760;3234185;2430182;4;2174887;2553804
800028702;31/12/2019;2018;Pymes;9226278;6443894;59294;435472;1;1;1;498898;319786;1;596752;2614022;332705;0;2910176;1;952801;1;562732;1;300000;1;258139;3245319;1;3543480;49503;2959680;6503160;860024;1812826;6832;569565;2382391;597786;4401245;6783636;2782384;2406204;4;1907311;2227097
800032741;31/12/2020;2020;Pymes;4596946;2786389;64349;927726;27057;0;8102;145428;47973;1;72836;866002;845536;0;4844377;0;655312;280740;0;845450;400000;0;188801;3567264;304858;2089232;286116;5130493;7219725;465650;1401702;0;845450;2247152;928652;5084717;7331869;1810557;920122;4;782800;830773
800032741;31/12/2020;2019;Pymes;4664120;2753115;46965;939872;43954;0;7018;147772;32190;1;158772;1466225;924093;0;4908896;0;912941;424177;0;936087;400000;0;188377;3730328;231487;2780577;287830;5196726;7977303;579941;1917059;0;936087;2853146;928652;5247357;8100503;1911005;974143;4;833393;865583
800047266;31/12/2020;2020;Pymes;785888;679114;235161;145524;47404;0;0;121311;0;1;67258;518166;164313;2957;331943;0;1011697;131579;0;322798;800000;0;257240;-670831;1011831;1764525;2;331945;2096470;38722;1181998;217159;539957;1721955;0;386409;2108364;106774;149006;4;27699;27699
800047266;31/12/2020;2019;Pymes;3627242;2904385;35111;168782;1823;0;0;250501;0;1;36493;1267925;48831;2957;989770;0;1163518;273649;0;1216302;800000;0;257240;-589347;1024619;2380825;2;989772;3370597;63538;1500705;209899;1426201;2926906;0;467893;3394799;722857;587362;4;336865;336865
