NIT;AÑO;K DE W / VENTAS;CAPITAL DE TRABAJO;RAZON CORRIENTE;PRUEBA ACIDA;DIAS INVENTARIO;DIAS CARTERA;DIAS PROVEEDORES;ENDEUDAMIENTO TOTAL;ENDEUDAMIENTO FINANCIERO;MARGEN BRUTO;MARGEN OPERACIONAL;MARGEN NETO
800000946;2020;19;196467751.0;1.3;1.0;53;104;105;60.9;2.9;34.3;24.3;27.3
800000946;2019;13;121897844.0;1.2;0.9;47;81;97;61.4;1.7;34.5;24.1;25.5
800000946;2018;15;117780294.0;1.2;0.8;55;68;72;69.9;0.0;29.0;1.1;2.1
800012778;2020;41;13295583.0;3.9;2.3;147;145;141;70.6;50.5;28.1;21.9;23.0
800012778;2019;43;15595291.0;3.0;1.9;121;144;105;67.9;52.6;31.2;21.8;22.8
800012778;2018;12;4096160.0;3.5;2.2;121;145;269;61.4;0.0;31.1;22.8;24.5
800019437;2020;17;18844642.0;2.8;1.4;65;41;34;25.6;12.6;26.5;21.3;26.8
800019437;2019;19;28941140.0;2.1;1.0;91;57;75;35.5;7.0;21.6;18.5;23.4
800019437;2018;24;36070614.0;1.6;0.6;151;69;127;45.0;5.2;22.6;18.8;23.7
800028702;2020;21;2035749.0;1.7;1.5;30;106;74;40.4;14.3;34.7;23.6;25.5
800028702;2019;20;2040297.0;1.9;1.8;16;100;56;34.0;14.4;32.2;24.2;25.5
800028702;2018;15;1431194.0;2.0;1.8;18;101;84;36.6;0.0;30.2;26.1;24.1
800032741;2020;22;1056226.0;1.5;0.9;109;67;84;31.1;50.1;39.4;20.0;18.1
800032741;2019;31;1477377.0;1.5;1.0;120;113;119;35.8;47.7;41.0;20.9;18.6
800047266;2020;-41;-329218.0;1.5;1.4;87;237;536;82.1;26.4;13.6;19.0;3.5
800047266;2019;4;153238.0;1.6;1.6;6;125;144;86.8;50.9;19.9;16.2;9.3
800047266;2018;8;475667.0;1.7;1.6;25;118;134;85.0;50.6;20.6;16.6;9.9
800051929;2020;50;9465467.0;2.5;1.0;215;55;50;31.6;46.0;24.0;13.9;11.9
800051929;2019;48;11134157.0;2.3;0.8;226;59;68;40.4;51.5;27.0;16.2;16.4
800051929;2018;42;9636609.0;2.4;1.1;165;86;82;39.4;38.5;22.1;14.2;12.9
800077985;2020;-108;-1854848.0;5.5;3.7;103;133;812;187.5;33.7;26.0;9.2;5.4
800077985;2019;-75;-1730511.0;3.8;2.6;74;75;548;155.3;42.6;26.5;13.9;11.8
800077985;2018;0;0.0;0.9;0.7;0;0;0;76.5;15.4;28.2;12.2;9.0
800080917;2020;34;40139679.0;1.9;1.4;66;110;50;54.4;72.9;26.1;19.4;20.2
800080917;2019;34;35910765.0;1.8;1.1;83;98;51;56.4;72.5;23.3;16.9;17.1
